P0,
Index [1],dR [mm]
1027,-10.7839
1028,-10.7717
1029,-10.6814
1030,-10.7325
1031,-10.7405
1032,-10.6877
1033,-10.7646
1034,-10.7043
1035,-10.6569
1036,-10.7113
1037,-10.7323
1038,-10.7478
1039,-10.6689
1040,-10.6555
1041,-10.7697
1042,-10.7244
1043,-10.6542
1044,-10.7516
1045,-10.859
1046,-10.7494
1047,-10.7274
1048,-10.8266
1049,-10.7657
1050,-10.7681
1051,-10.8483
1052,-10.8532
1053,-10.868
1054,-10.7985
1055,-10.905
1056,-10.8647
1057,-10.8201
1058,-10.881
1059,-10.9545
1060,-11.0051
1061,-10.9452
1062,-10.925
1063,-10.9434
1064,-10.9574
1065,-11.0901
1066,-11.0857
1067,-11.1369
1068,-11.0924
1069,-11.1624
1070,-11.0947
1071,-11.101
1072,-11.2303
1073,-11.1777
1074,-11.1752
1075,-11.2194
1076,-11.3148
1077,-11.3016
1078,-11.2717
1079,-11.2827
1080,-11.2362
1081,-11.3211
1082,-11.4047
1083,-11.3828
1084,-11.3955
1085,-11.4547
1086,-11.3741
1087,-11.3902
1088,-11.5046
1089,-11.533
1090,-11.4559
1091,-11.5219
1092,-11.533
1093,-11.4909
1094,-11.5193
1095,-11.5769
1096,-11.5752
1097,-11.5784
1098,-11.6027
1099,-11.5802
1100,-11.595
1101,-11.612
1102,-11.5779
1103,-11.592
1104,-11.5675
1105,-11.6253
1106,-11.5797
1107,-11.6051
1108,-11.5855
1109,-11.5525
1110,-11.5112
1111,-11.5034
1112,-11.5006
1113,-11.5038
1114,-11.6138
1115,-11.5852
1116,-11.4809
1117,-11.4334
1118,-11.4398
1119,-11.4563
1120,-11.4043
1121,-11.4462
1122,-11.4469
1123,-11.3929
1124,-11.3687
1125,-11.3006
1126,-11.3081
1127,-11.3308
1128,-11.3528
1129,-11.3214
1130,-11.2145
1131,-11.2481
1132,-11.2022
1133,-11.2525
1134,-11.1803
1135,-11.1662
1136,-11.1618
1137,-11.0948
1138,-11.0544
1139,-11.0493
1140,-11.0386
1141,-10.9664
1142,-10.9819
1143,-10.9376
1144,-10.8703
1145,-10.898
1146,-10.909
1147,-10.8064
1148,-10.7949
1149,-10.7718
1150,-10.6908
1151,-10.7748
1152,-10.7073
1153,-10.6848
1154,-10.6385
1155,-10.5598
1156,-10.5176
1157,-10.5682
1158,-10.5092
1159,-10.4495
1160,-10.404
1161,-10.3739
1162,-10.3601
1163,-10.3578
1164,-10.3378
1165,-10.3173
1166,-10.2946
1167,-10.177
1168,-10.1599
1169,-10.2068
1170,-10.1575
1171,-10.0445
1172,-10.0913
1173,-10.0396
1174,-9.99588
1175,-9.98389
1176,-9.906
1177,-9.94081
1178,-9.95738
1179,-9.87811
1180,-9.85789
1181,-9.87178
1182,-9.82336
1183,-9.74545
1184,-9.733
1185,-9.70646
1186,-9.64382
1187,-9.69269
1188,-9.62175
1189,-9.59602
1190,-9.53863
1191,-9.52857
1192,-9.50403
1193,-9.48175
1194,-9.47809
1195,-9.40602
1196,-9.38506
1197,-9.43606
1198,-9.3739
1199,-9.41028
1200,-9.30568
1201,-9.28248
1202,-9.26377
1203,-9.3842
1204,-9.2835
1205,-9.27612
1206,-9.23602
1207,-9.29095
1208,-9.26258
1209,-9.20804
1210,-9.17849
1211,-9.2662
1212,-9.18699
1213,-9.23926
1214,-9.25915
1215,-9.21691
1216,-9.19889
1217,-9.25379
1218,-9.18246
1219,-9.24504
1220,-9.27053
1221,-9.21717
1222,-9.20217
1223,-9.21772
1224,-9.14356
1225,-9.07617
1226,-9.11735
1227,-9.22171
1228,-9.21964
1229,-9.19436
1230,-9.17232
1231,-9.19936
1232,-9.11763
1233,-9.14246
1234,-9.20182
1235,-9.2406
1236,-9.23853
1237,-9.24564
1238,-9.21462
1239,-9.20789
1240,-9.14989
1241,-9.20842
1242,-9.26733
1243,-9.30104
1244,-9.3475
1245,-9.29232
1246,-9.23579
1247,-9.26752
1248,-9.35244
1249,-9.39251
1250,-9.36199
1251,-9.39452
1252,-9.39134
1253,-9.41784
1254,-9.45949
1255,-9.45812
1256,-9.42375
1257,-9.46666
1258,-9.45649
1259,-9.50694
1260,-9.49784
1261,-9.55008
1262,-9.59866
1263,-9.564
1264,-9.53531
1265,-9.6023
1266,-9.60625
1267,-9.68824
1268,-9.67372
1269,-9.72746
1270,-9.63552
1271,-9.69083
1272,-9.68279
1273,-9.72826
1274,-9.74519
1275,-9.71526
1276,-9.77087
1277,-9.75735
1278,-9.71759
1279,-9.81497
1280,-9.83031
1281,-9.86165
1282,-9.90117
1283,-9.90703
1284,-9.96472
1285,-9.93493
1286,-9.95175
1287,-9.93373
1288,-9.9958
1289,-9.99769
1290,-10.0252
1291,-10.0601
1292,-10.0173
1293,-10.0678
1294,-10.0521
1295,-10.0409
1296,-10.0822
1297,-10.122
1298,-10.0841
1299,-10.0823
1300,-10.0853
1301,-10.1007
1302,-10.0818
1303,-10.1262
1304,-10.0656
1305,-10.0737
1306,-10.012
1307,-10.0697
1308,-10.0531
1309,-9.99785
1310,-10.0142
1311,-10.008
1312,-9.94472
1313,-9.90553
1314,-9.94951
1315,-9.98458
1316,-9.89849
1317,-9.88157
1318,-9.94946
1319,-9.90289
1320,-9.87775
1321,-9.83029
1322,-9.7897
1323,-9.84524
1324,-9.78291
1325,-9.7814
1326,-9.78863
1327,-9.77904
1328,-9.69388
1329,-9.65463
1330,-9.6872
1331,-9.696
1332,-9.6455
1333,-9.6506
1334,-9.63164
1335,-9.57962
1336,-9.52482
1337,-9.51578
1338,-9.51038
1339,-9.49742
1340,-9.49162
1341,-9.42407
1342,-9.37019
1343,-9.39419
1344,-9.35139
1345,-9.34709
1346,-9.29287
1347,-9.33601
1348,-9.26443
1349,-9.23015
1350,-9.20757
1351,-9.17676
1352,-9.14631
1353,-9.13166
1354,-9.13267
1355,-9.0545
1356,-9.03642
1357,-9.10934
1358,-9.03696
1359,-8.97974
1360,-8.95321
1361,-8.9481
1362,-8.95722
1363,-8.85858
1364,-8.94572
1365,-8.89332
1366,-8.82789
1367,-8.76085
1368,-8.84657
1369,-8.80562
1370,-8.78333
1371,-8.75442
1372,-8.73372
1373,-8.67564
1374,-8.70496
1375,-8.71178
1376,-8.66814
1377,-8.65556
1378,-8.6369
1379,-8.62487
1380,-8.55905
