Average,P0,P1
Index [1],dR [mm],dR [mm]
832,-9.55718,-7.9023
833,-9.52149,-7.88829
834,-9.52452,-7.82358
835,-9.50724,-7.79204
836,-9.44723,-7.74111
837,-9.47458,-7.78195
838,-9.45577,-7.78798
839,-9.50905,-7.8784
840,-9.4499,-7.83238
841,-9.38761,-7.68743
842,-9.4672,-7.8305
843,-9.46215,-7.82552
844,-9.36308,-7.71241
845,-9.44959,-7.72743
846,-9.36854,-7.78995
847,-9.36938,-7.74504
848,-9.41509,-7.81464
849,-9.45232,-7.84342
850,-9.51234,-7.94099
851,-9.41675,-7.81136
852,-9.40486,-7.81522
853,-9.46619,-7.87748
854,-9.4564,-7.92684
855,-9.49031,-7.88684
856,-9.4321,-7.86558
857,-9.48507,-7.89139
858,-9.45025,-7.89004
859,-9.45158,-7.86572
860,-9.45323,-7.87404
861,-9.41115,-7.87985
862,-9.35135,-7.76939
863,-9.40548,-7.85643
864,-9.41184,-7.88075
865,-9.43978,-7.88958
866,-9.45288,-7.93362
867,-9.47513,-7.94814
868,-9.4724,-7.91446
869,-9.41882,-7.93886
870,-9.45942,-7.89476
871,-9.47786,-8.02013
872,-9.42882,-7.91102
873,-9.4555,-7.98892
874,-9.42011,-7.95918
875,-9.40961,-7.97057
876,-9.46481,-8.03057
877,-9.4892,-8.03449
878,-9.47887,-8.00804
879,-9.44222,-7.99343
880,-9.39972,-7.96637
881,-9.45361,-8.00746
882,-9.49794,-8.00347
883,-9.34969,-7.97891
884,-9.40485,-7.96924
885,-9.42882,-8.03781
886,-9.40517,-7.98587
887,-9.41733,-7.96988
888,-9.43903,-8.08693
889,-9.45576,-8.03088
890,-9.41413,-8.05404
891,-9.40493,-8.02591
892,-9.40054,-8.01715
893,-9.38603,-8.03957
894,-9.30914,-7.94137
895,-9.32205,-7.98686
896,-9.30844,-7.94457
897,-9.25123,-7.87603
898,-9.24838,-7.86143
899,-9.18168,-7.86726
900,-9.2185,-7.8468
901,-9.17894,-7.82797
902,-9.1767,-7.84656
903,-9.18213,-7.78199
904,-9.14861,-7.82264
905,-9.10967,-7.67933
906,-9.07735,-7.77205
907,-9.03042,-7.71754
908,-9.0002,-7.68507
909,-9.01546,-7.67824
910,-8.90479,-7.59596
911,-8.8467,-7.54315
912,-8.88048,-7.5281
913,-8.85003,-7.5793
914,-8.82245,-7.53171
915,-8.76955,-7.49258
916,-8.73125,-7.42307
917,-8.69797,-7.41943
918,-8.74389,-7.47261
919,-8.77062,-7.48415
920,-8.61508,-7.3535
921,-8.61587,-7.32845
922,-8.58764,-7.28177
923,-8.58248,-7.29903
924,-8.52014,-7.22363
925,-8.48072,-7.19819
926,-8.47352,-7.15752
927,-8.48004,-7.14545
928,-8.421,-7.15593
929,-8.40297,-7.11064
930,-8.38975,-7.06712
931,-8.32935,-7.06814
932,-8.30457,-6.98631
933,-8.27271,-7.00776
934,-8.22972,-6.95993
935,-8.15189,-6.8598
936,-8.155,-6.88987
937,-8.12997,-6.83283
938,-8.10506,-6.76738
939,-8.03124,-6.66293
940,-8.01934,-6.77232
941,-7.97276,-6.60741
942,-7.88731,-6.57155
943,-7.88961,-6.58171
944,-7.8416,-6.53097
945,-7.82721,-6.52379
946,-7.78127,-6.49863
947,-7.6684,-6.35939
948,-7.62861,-6.3136
949,-7.66175,-6.33924
950,-7.63687,-6.30487
951,-7.53765,-6.07954
952,-7.43919,-6.0525
953,-7.43504,-6.06615
954,-7.40189,-6.05576
955,-7.44537,-6.13695
956,-7.42074,-5.9837
957,-7.40517,-5.98155
958,-7.40389,-6.01147
959,-7.2944,-5.96578
960,-7.29016,-5.91144
961,-7.22867,-5.87528
962,-7.21792,-5.83949
963,-7.15394,-5.76581
964,-7.20828,-5.79393
965,-7.12718,-5.68664
966,-7.14715,-5.78666
967,-7.15457,-5.72043
968,-7.06523,-5.63032
969,-7.09313,-5.67927
970,-7.10173,-5.6734
971,-7.08475,-5.67003
972,-6.99614,-5.59656
973,-6.99789,-5.61767
974,-7.02804,-5.55269
975,-6.95811,-5.4632
976,-6.82636,-5.37244
977,-6.89435,-5.37833
978,-6.93104,-5.5417
979,-6.96243,-5.51934
980,-6.83505,-5.41141
981,-6.79874,-5.33381
982,-6.76727,-5.31706
983,-6.78185,-5.36248
