AstroVIEW X
Type, Original
Time, 01/01/2002 12:28:49 AM
Compression, 1
Pre Sample Rate, 2000000
Post Sample Rate, 2000000
Size, 6015
Trigger, 3000001
Recorder Type, DASH 8HF
Amp Type, Isolated, Isolated, Isolated, Isolated
Units, Volts , Volts , Volts , Volts 
 SAMPLE,1:Waveform 1, 1:Waveform 2, 1:Waveform 3, 1:Waveform 4
2535352 ,-0.01582           ,-0.01227           ,-0.01400           ,-0.01755           
2535353 ,-0.01672           ,-0.01267           ,-0.02020           ,-0.02005           
2535354 ,-0.00838           ,-0.00743           ,-0.01160           ,-0.01538           
2535355 ,-0.01308           ,-0.01282           ,-0.01045           ,-0.01887           
2535356 ,-0.02575           ,-0.02013           ,-0.01720           ,-0.02345           
2535357 ,-0.01813           ,-0.01312           ,-0.01105           ,-0.01705           
2535358 ,-0.00755           ,-0.00522           ,-0.00367           ,-0.01110           
2535359 ,-0.01455           ,-0.01062           ,-0.01300           ,-0.01590           
2535360 ,-0.01732           ,-0.01280           ,-0.02153           ,-0.01980           
2535361 ,-0.00860           ,-0.00822           ,-0.01372           ,-0.01488           
2535362 ,-0.01045           ,-0.01227           ,-0.01015           ,-0.01710           
2535363 ,-0.02410           ,-0.01985           ,-0.01653           ,-0.02195           
2535364 ,-0.02105           ,-0.01415           ,-0.01235           ,-0.01777           
2535365 ,-0.00935           ,-0.00520           ,-0.00462           ,-0.01095           
2535366 ,-0.01400           ,-0.00917           ,-0.01203           ,-0.01443           
2535367 ,-0.01835           ,-0.01303           ,-0.02172           ,-0.01922           
2535368 ,-0.01045           ,-0.01017           ,-0.01467           ,-0.01553           
2535369 ,-0.00990           ,-0.01300           ,-0.00927           ,-0.01665           
2535370 ,-0.02235           ,-0.02067           ,-0.01498           ,-0.02155           
2535371 ,-0.02250           ,-0.01643           ,-0.01272           ,-0.01867           
2535372 ,-0.01053           ,-0.00680           ,-0.00522           ,-0.01122           
2535373 ,-0.01238           ,-0.00955           ,-0.01112           ,-0.01310           
2535374 ,-0.01800           ,-0.01400           ,-0.02140           ,-0.01850           
2535375 ,-0.01160           ,-0.01230           ,-0.01560           ,-0.01595           
2535376 ,-0.00880           ,-0.01343           ,-0.00930           ,-0.01598           
2535377 ,-0.01972           ,-0.02008           ,-0.01435           ,-0.02010           
2535378 ,-0.02213           ,-0.01708           ,-0.01358           ,-0.01843           
2535379 ,-0.01205           ,-0.00838           ,-0.00715           ,-0.01258           
2535380 ,-0.01225           ,-0.00950           ,-0.01162           ,-0.01358           
